education,workclass,occupation,salary-class,race,native-country,sex,marital-status,age
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Female,Divorced,22
Some-college,Private,Other-service,<=50K,White,United-States,Female,Never-married,20
Some-college,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,28
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,46
Bachelors,Local-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,42
Some-college,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,28
Some-college,Private,Sales,<=50K,White,United-States,Female,Never-married,18
Bachelors,Federal-gov,Prof-specialty,<=50K,Asian-Pac-Islander,United-States,Male,Never-married,24
Doctorate,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,45
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,24
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,44
Some-college,Private,Other-service,<=50K,White,United-States,Male,Never-married,20
Some-college,Private,Tech-support,<=50K,White,Poland,Male,Married-civ-spouse,35
Bachelors,Self-emp-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,52
Assoc-acdm,Private,Farming-fishing,<=50K,White,United-States,Male,Never-married,25
5th-6th,Private,Farming-fishing,<=50K,White,Mexico,Male,Never-married,19
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,54
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,21
HS-grad,Private,Adm-clerical,>50K,White,United-States,Female,Married-civ-spouse,26
Assoc-voc,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,42
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,19
Masters,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,55
HS-grad,State-gov,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,44
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Male,Never-married,25
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,26
Assoc-acdm,Federal-gov,Prof-specialty,>50K,White,United-States,Female,Separated,64
11th,Private,Other-service,<=50K,Other,United-States,Female,Divorced,41
Some-college,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,43
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Never-married,45
Bachelors,Federal-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,48
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,60
Some-college,Self-emp-not-inc,Farming-fishing,<=50K,White,United-States,Male,Never-married,45
10th,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,51
HS-grad,Federal-gov,Adm-clerical,<=50K,White,United-States,Female,Divorced,37
Some-college,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,22
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,44
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,27
HS-grad,Local-gov,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,47
Masters,Private,Exec-managerial,>50K,Black,United-States,Male,Married-civ-spouse,32
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,41
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,26
Some-college,Private,Exec-managerial,<=50K,Asian-Pac-Islander,United-States,Male,Married-civ-spouse,47
HS-grad,Self-emp-inc,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,55
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,38
Bachelors,State-gov,Prof-specialty,<=50K,White,United-States,Male,Never-married,24
Doctorate,Self-emp-not-inc,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,64
Bachelors,Federal-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,56
HS-grad,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,41
HS-grad,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,33
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Never-married,33
Some-college,Private,Other-service,<=50K,White,United-States,Male,Married-civ-spouse,21
HS-grad,Local-gov,Craft-repair,<=50K,Black,United-States,Male,Widowed,59
Assoc-voc,Private,Exec-managerial,>50K,White,Germany,Male,Married-civ-spouse,58
Masters,Local-gov,Prof-specialty,<=50K,White,United-States,Male,Divorced,43
HS-grad,Private,Craft-repair,<=50K,Black,United-States,Male,Never-married,21
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,45
HS-grad,Local-gov,Exec-managerial,>50K,White,United-States,Female,Married-civ-spouse,53
10th,Private,Exec-managerial,<=50K,White,Mexico,Female,Married-civ-spouse,27
Masters,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,38
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,31
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,41
Some-college,State-gov,Adm-clerical,<=50K,White,United-States,Female,Never-married,22
Masters,Self-emp-not-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,43
Some-college,State-gov,Prof-specialty,<=50K,White,United-States,Male,Never-married,41
Some-college,Private,Handlers-cleaners,<=50K,White,United-States,Female,Married-civ-spouse,27
Some-college,Local-gov,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,41
Prof-school,Private,Prof-specialty,>50K,White,United-States,Male,Divorced,36
Bachelors,Private,Adm-clerical,>50K,White,United-States,Female,Married-civ-spouse,49
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,20
HS-grad,Self-emp-not-inc,Other-service,<=50K,White,United-States,Female,Married-spouse-absent,58
12th,Self-emp-not-inc,Other-service,<=50K,Black,Trinadad&Tobago,Female,Never-married,35
HS-grad,Local-gov,Protective-serv,>50K,White,United-States,Male,Married-civ-spouse,30
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,21
Assoc-acdm,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,29
HS-grad,Private,Sales,<=50K,White,United-States,Female,Widowed,40
Bachelors,State-gov,Prof-specialty,>50K,Asian-Pac-Islander,United-States,Female,Never-married,54
Bachelors,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,35
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,35
HS-grad,Private,Sales,<=50K,Black,United-States,Female,Separated,59
Some-college,Self-emp-inc,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,43
10th,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,39
7th-8th,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Separated,51
Some-college,Private,Other-service,<=50K,White,United-States,Female,Never-married,71
12th,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Divorced,33
HS-grad,Private,Other-service,<=50K,Black,United-States,Male,Divorced,28
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-spouse-absent,30
5th-6th,Private,Farming-fishing,<=50K,White,Mexico,Male,Married-spouse-absent,20
HS-grad,Self-emp-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,51
HS-grad,Private,Machine-op-inspct,>50K,White,United-States,Female,Married-civ-spouse,39
Some-college,Private,Sales,>50K,Asian-Pac-Islander,United-States,Male,Married-civ-spouse,62
9th,Private,Machine-op-inspct,<=50K,White,Dominican-Republic,Male,Never-married,28
HS-grad,Private,Sales,<=50K,Asian-Pac-Islander,South,Male,Never-married,23
Bachelors,Private,Sales,<=50K,White,United-States,Female,Married-civ-spouse,39
Bachelors,Self-emp-inc,Sales,>50K,White,United-States,Male,Widowed,50
7th-8th,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,31
Bachelors,Local-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,45
10th,Private,Machine-op-inspct,<=50K,White,United-States,Male,Widowed,47
HS-grad,Private,Prof-specialty,<=50K,White,United-States,Female,Widowed,59
Assoc-acdm,Private,Handlers-cleaners,<=50K,White,United-States,Male,Married-civ-spouse,32
Bachelors,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,49
HS-grad,Federal-gov,Other-service,<=50K,White,United-States,Male,Widowed,74
Some-college,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,22
Some-college,Private,Craft-repair,<=50K,White,Greece,Male,Married-civ-spouse,32
Bachelors,Private,Farming-fishing,>50K,White,United-States,Male,Married-civ-spouse,34
Bachelors,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,59
Bachelors,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,36
11th,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,59
Bachelors,Self-emp-inc,Exec-managerial,>50K,White,United-States,Male,Divorced,47
HS-grad,Local-gov,Other-service,<=50K,White,United-States,Male,Married-civ-spouse,53
Some-college,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Never-married,25
Bachelors,Private,Adm-clerical,<=50K,Black,United-States,Male,Divorced,44
Prof-school,Self-emp-not-inc,Sales,>50K,White,United-States,Female,Married-civ-spouse,57
Bachelors,Self-emp-not-inc,Farming-fishing,>50K,White,United-States,Male,Married-civ-spouse,42
10th,Local-gov,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,58
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,39
7th-8th,Private,Machine-op-inspct,<=50K,White,United-States,Male,Divorced,45
Bachelors,Private,Exec-managerial,>50K,Black,United-States,Female,Married-civ-spouse,47
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Female,Divorced,52
HS-grad,Private,Other-service,<=50K,Black,United-States,Female,Never-married,34
7th-8th,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,36
HS-grad,Private,Craft-repair,<=50K,White,Poland,Male,Married-spouse-absent,41
Some-college,Private,Prof-specialty,<=50K,White,Mexico,Male,Never-married,30
Bachelors,Private,Exec-managerial,<=50K,Other,Puerto-Rico,Male,Married-civ-spouse,44
Some-college,Private,Other-service,<=50K,White,United-States,Female,Never-married,34
Some-college,Private,Other-service,<=50K,Black,United-States,Male,Separated,41
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,29
9th,Private,Machine-op-inspct,<=50K,White,Mexico,Male,Never-married,25
Bachelors,Local-gov,Prof-specialty,<=50K,White,United-States,Male,Separated,42
Some-college,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,48
Assoc-voc,Private,Sales,<=50K,White,United-States,Male,Never-married,26
Bachelors,Self-emp-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,46
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,38
11th,State-gov,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,49
Some-college,Private,Sales,<=50K,Black,United-States,Female,Never-married,23
Bachelors,Local-gov,Prof-specialty,>50K,White,United-States,Female,Never-married,46
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,30
HS-grad,Self-emp-not-inc,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,49
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Divorced,31
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,19
Assoc-acdm,Private,Prof-specialty,<=50K,White,United-States,Female,Divorced,45
Bachelors,Private,Prof-specialty,>50K,White,Peru,Male,Married-civ-spouse,34
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,26
HS-grad,Self-emp-not-inc,Transport-moving,>50K,White,United-States,Male,Married-civ-spouse,38
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,31
Assoc-acdm,Self-emp-inc,Exec-managerial,<=50K,White,United-States,Male,Separated,36
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,31
Bachelors,Private,Tech-support,<=50K,White,United-States,Male,Married-civ-spouse,30
HS-grad,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,37
Bachelors,Private,Prof-specialty,>50K,Black,United-States,Male,Never-married,30
10th,Private,Other-service,<=50K,White,United-States,Female,Widowed,73
Masters,Federal-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,38
10th,Private,Craft-repair,<=50K,White,United-States,Male,Never-married,30
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,33
Bachelors,Local-gov,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,52
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,58
Masters,Local-gov,Prof-specialty,<=50K,White,United-States,Female,Never-married,34
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,35
HS-grad,Federal-gov,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,59
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Female,Divorced,45
Some-college,Private,Transport-moving,<=50K,White,United-States,Male,Never-married,27
Doctorate,Local-gov,Prof-specialty,>50K,White,Mexico,Male,Never-married,31
Some-college,Private,Farming-fishing,<=50K,White,United-States,Male,Never-married,45
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Separated,40
Prof-school,Private,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,27
HS-grad,Private,Other-service,<=50K,White,United-States,Male,Never-married,19
5th-6th,Private,Other-service,<=50K,White,Mexico,Male,Never-married,29
Some-college,Self-emp-inc,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,34
Assoc-acdm,State-gov,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,32
11th,Private,Craft-repair,<=50K,White,Cuba,Male,Married-civ-spouse,49
11th,Private,Exec-managerial,>50K,White,United-States,Female,Divorced,33
Bachelors,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,62
HS-grad,Self-emp-not-inc,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,39
HS-grad,Private,Exec-managerial,<=50K,White,United-States,Female,Divorced,43
Some-college,Private,Tech-support,<=50K,White,United-States,Female,Never-married,22
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,24
Some-college,Private,Other-service,<=50K,Black,United-States,Female,Never-married,25
Some-college,Private,Sales,<=50K,White,United-States,Female,Never-married,19
Assoc-acdm,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,31
11th,Private,Craft-repair,<=50K,White,United-States,Female,Divorced,53
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,61
Bachelors,Private,Other-service,<=50K,White,El-Salvador,Male,Married-civ-spouse,47
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,37
Bachelors,Self-emp-not-inc,Exec-managerial,<=50K,White,United-States,Male,Divorced,50
Some-college,Private,Sales,<=50K,White,United-States,Male,Never-married,27
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,58
HS-grad,Private,Handlers-cleaners,<=50K,Black,United-States,Male,Married-civ-spouse,43
Assoc-acdm,Private,Adm-clerical,<=50K,White,United-States,Male,Married-civ-spouse,39
Some-college,Private,Sales,<=50K,White,United-States,Female,Never-married,36
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,56
HS-grad,Private,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,26
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,23
11th,Private,Transport-moving,<=50K,Black,United-States,Male,Never-married,47
12th,Private,Sales,<=50K,White,United-States,Female,Widowed,68
Some-college,Local-gov,Protective-serv,<=50K,Black,United-States,Male,Never-married,47
Some-college,Federal-gov,Tech-support,>50K,White,Guatemala,Male,Married-civ-spouse,45
Some-college,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,26
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,20
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,46
Assoc-acdm,Private,Tech-support,>50K,White,United-States,Male,Married-civ-spouse,37
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,37
Some-college,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,43
Masters,Private,Prof-specialty,<=50K,White,United-States,Female,Widowed,59
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,39
Some-college,Private,Farming-fishing,<=50K,White,United-States,Female,Divorced,32
Some-college,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,63
Bachelors,Private,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,45
Bachelors,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,59
HS-grad,Private,Tech-support,<=50K,White,United-States,Male,Never-married,26
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Divorced,34
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,41
HS-grad,Private,Handlers-cleaners,<=50K,Black,United-States,Male,Never-married,26
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Female,Divorced,53
HS-grad,Private,Adm-clerical,>50K,White,United-States,Female,Married-civ-spouse,33
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,46
HS-grad,Private,Craft-repair,<=50K,White,United-States,Female,Widowed,31
HS-grad,Private,Other-service,<=50K,White,United-States,Male,Separated,24
HS-grad,Local-gov,Adm-clerical,<=50K,White,United-States,Female,Divorced,57
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Separated,40
Assoc-voc,Self-emp-inc,Sales,<=50K,Other,Mexico,Male,Married-civ-spouse,41
Some-college,Private,Adm-clerical,<=50K,White,United-States,Male,Never-married,20
11th,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Never-married,45
Assoc-voc,Private,Adm-clerical,<=50K,White,United-States,Female,Separated,27
5th-6th,Private,Craft-repair,<=50K,White,Mexico,Male,Married-spouse-absent,36
HS-grad,Private,Craft-repair,<=50K,White,Germany,Male,Married-civ-spouse,30
Bachelors,Private,Prof-specialty,>50K,White,United-States,Female,Married-civ-spouse,36
HS-grad,Private,Farming-fishing,<=50K,Other,Mexico,Male,Married-spouse-absent,25
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Married-civ-spouse,31
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,49
11th,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,26
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Never-married,25
Assoc-voc,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,29
Some-college,Private,Adm-clerical,<=50K,White,Dominican-Republic,Female,Never-married,24
HS-grad,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,41
Masters,Private,Exec-managerial,>50K,White,United-States,Male,Never-married,35
Bachelors,Self-emp-inc,Sales,>50K,White,United-States,Female,Married-civ-spouse,57
11th,Private,Priv-house-serv,<=50K,White,Mexico,Female,Never-married,21
10th,Private,Other-service,<=50K,Black,United-States,Female,Never-married,29
Some-college,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,36
Some-college,Private,Adm-clerical,<=50K,White,United-States,Female,Never-married,20
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,51
11th,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,39
Bachelors,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,36
Prof-school,Self-emp-not-inc,Prof-specialty,>50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,61
Prof-school,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Separated,21
HS-grad,Private,Tech-support,<=50K,White,United-States,Female,Divorced,40
10th,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,46
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,21
10th,Self-emp-not-inc,Transport-moving,<=50K,Black,United-States,Male,Married-civ-spouse,35
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,39
HS-grad,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Private,Adm-clerical,<=50K,White,United-States,Female,Separated,30
9th,Private,Machine-op-inspct,<=50K,Other,Mexico,Male,Never-married,28
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,32
Assoc-voc,Self-emp-not-inc,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,46
Assoc-voc,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,40
HS-grad,Private,Machine-op-inspct,>50K,Black,United-States,Female,Married-civ-spouse,47
10th,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,44
HS-grad,Private,Sales,<=50K,White,Columbia,Male,Married-civ-spouse,38
Bachelors,Self-emp-not-inc,Farming-fishing,>50K,White,United-States,Male,Married-civ-spouse,46
Doctorate,Private,Prof-specialty,>50K,White,Iran,Male,Married-civ-spouse,51
Doctorate,Private,Prof-specialty,>50K,White,Iran,Male,Widowed,45
Some-college,Private,Other-service,<=50K,White,United-States,Female,Never-married,20
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-civ-spouse,44
Assoc-voc,Private,Farming-fishing,<=50K,White,United-States,Male,Married-civ-spouse,33
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Never-married,18
Prof-school,Self-emp-inc,Prof-specialty,>50K,White,United-States,Male,Separated,61
Bachelors,State-gov,Exec-managerial,<=50K,White,United-States,Female,Never-married,50
HS-grad,Federal-gov,Machine-op-inspct,<=50K,Black,United-States,Male,Never-married,47
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,34
HS-grad,Private,Transport-moving,<=50K,Black,United-States,Male,Married-civ-spouse,53
Some-college,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,39
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,58
11th,Private,Farming-fishing,<=50K,White,United-States,Male,Never-married,26
5th-6th,Private,Adm-clerical,<=50K,White,Mexico,Male,Married-civ-spouse,41
Some-college,Local-gov,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,47
Assoc-voc,Private,Machine-op-inspct,<=50K,Amer-Indian-Eskimo,United-States,Male,Married-civ-spouse,31
Some-college,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,52
Assoc-acdm,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,29
9th,Private,Handlers-cleaners,<=50K,Black,United-States,Female,Separated,43
Masters,Federal-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,42
Some-college,Private,Machine-op-inspct,<=50K,Black,United-States,Female,Never-married,35
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,41
Bachelors,Private,Sales,>50K,White,United-States,Male,Married-civ-spouse,34
Some-college,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,52
Some-college,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,61
HS-grad,Local-gov,Exec-managerial,<=50K,White,United-States,Male,Separated,39
Some-college,Private,Sales,<=50K,White,United-States,Female,Never-married,19
Bachelors,State-gov,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,46
Some-college,Private,Exec-managerial,<=50K,White,United-States,Male,Never-married,39
Some-college,Private,Other-service,<=50K,White,United-States,Male,Never-married,22
HS-grad,State-gov,Adm-clerical,<=50K,White,United-States,Female,Separated,30
Assoc-voc,Private,Other-service,<=50K,White,United-States,Female,Divorced,40
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Male,Married-spouse-absent,43
5th-6th,Private,Farming-fishing,<=50K,White,Mexico,Male,Married-civ-spouse,37
Assoc-acdm,Private,Other-service,<=50K,White,United-States,Male,Never-married,23
Assoc-acdm,Local-gov,Prof-specialty,<=50K,White,United-States,Male,Divorced,39
Masters,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,54
Some-college,Self-emp-inc,Sales,<=50K,White,United-States,Male,Married-civ-spouse,46
Some-college,Private,Transport-moving,<=50K,White,United-States,Female,Never-married,20
Bachelors,Self-emp-not-inc,Tech-support,>50K,White,United-States,Female,Married-civ-spouse,50
10th,Private,Sales,<=50K,White,United-States,Female,Never-married,17
HS-grad,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,36
HS-grad,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,37
HS-grad,Private,Other-service,<=50K,White,United-States,Female,Divorced,53
HS-grad,Private,Transport-moving,>50K,White,United-States,Male,Married-civ-spouse,50
HS-grad,Private,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Self-emp-not-inc,Craft-repair,<=50K,White,United-States,Male,Married-civ-spouse,63
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,53
Some-college,Self-emp-inc,Prof-specialty,<=50K,White,United-States,Male,Never-married,23
HS-grad,Private,Handlers-cleaners,<=50K,White,United-States,Male,Never-married,20
Some-college,Private,Craft-repair,>50K,Black,United-States,Male,Married-civ-spouse,46
10th,Private,Other-service,<=50K,Amer-Indian-Eskimo,Mexico,Male,Never-married,28
Masters,Private,Prof-specialty,<=50K,White,United-States,Male,Divorced,59
Bachelors,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,41
Preschool,Private,Farming-fishing,<=50K,White,Mexico,Male,Married-civ-spouse,33
12th,Private,Craft-repair,<=50K,White,Italy,Male,Married-civ-spouse,56
HS-grad,Self-emp-not-inc,Sales,>50K,White,El-Salvador,Male,Married-civ-spouse,50
Bachelors,Local-gov,Exec-managerial,<=50K,White,United-States,Female,Never-married,31
Assoc-voc,Private,Sales,<=50K,White,United-States,Male,Divorced,41
Bachelors,Private,Prof-specialty,>50K,White,United-States,Female,Married-civ-spouse,38
Assoc-acdm,State-gov,Adm-clerical,<=50K,White,United-States,Female,Never-married,25
Bachelors,Local-gov,Prof-specialty,<=50K,Black,United-States,Female,Divorced,49
Some-college,Private,Machine-op-inspct,<=50K,White,United-States,Male,Never-married,39
Some-college,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,21
Bachelors,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,35
HS-grad,Private,Craft-repair,>50K,White,United-States,Male,Married-civ-spouse,38
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Divorced,31
11th,Self-emp-inc,Prof-specialty,<=50K,White,United-States,Male,Never-married,17
Bachelors,Private,Adm-clerical,>50K,White,United-States,Male,Married-civ-spouse,31
Bachelors,Local-gov,Prof-specialty,<=50K,White,United-States,Male,Never-married,25
Masters,Private,Exec-managerial,>50K,White,United-States,Male,Married-civ-spouse,39
7th-8th,Private,Machine-op-inspct,<=50K,White,United-States,Male,Married-civ-spouse,50
Bachelors,Local-gov,Prof-specialty,>50K,White,United-States,Female,Married-civ-spouse,38
Some-college,Private,Sales,<=50K,White,United-States,Male,Married-civ-spouse,50
10th,Private,Exec-managerial,<=50K,White,United-States,Male,Married-civ-spouse,63
HS-grad,Private,Transport-moving,<=50K,White,United-States,Male,Married-civ-spouse,31
Bachelors,Private,Prof-specialty,<=50K,White,United-States,Female,Never-married,23
Some-college,Private,Other-service,<=50K,White,United-States,Male,Never-married,18
Bachelors,Local-gov,Prof-specialty,<=50K,White,United-States,Female,Divorced,43
